source_text,target_text,language_pair,source_file,sheet_name,source_tokens,target_tokens
arabic students are in a different position the giveandtake of traditional textual interpretation is actually closer to the environment metamodernism arose from and you will have to undo some of my arguments to get back to that,abafundi besiarabhu basesikhundleni esehlukile isiko lokuhlaziya ngokunika nokuthatha lusondelene neenvironmental metamodernism futhi kuzomele wenze kabusha ezinye izimpikiswano zami ukubuyisa lokho,en-zu,englishzulu00482.xlsx,Sheet1,37,20
the facility boasts a teaching practice laboratory where bachelor of education students with disabilities meet and interact before they embark on their teaching practice school placements,le ngqalasizinda igabe ngegumbi lokufundela nokufundisa lapho abafundi basesikoleni sezemfundo abanokukhubazeka behlangana khona badingide izinto ngaphambi kokuya kwabo ezindaweni abazicijela ukufundisa kuzona,en-zu,englishzulu00222.xlsx,Sheet1,26,22
it is for this reason that the aspiring filmmakers through fukamisa produced films focusing on the constitution and democracy genderbased violence sexuality and identity,yingenxa yalokhu abenzi bamafilimu abasacathula ngohlelo ifukamisa benze amafilimu athinta umthethosisekeli nentando yabantu udlame ngokobulili ubulili bocansi nobumina,en-zu,englishzulu00563.xlsx,Sheet1,24,18
introduction to this module,isingeniso kule mojuli,en-zu,englishzulu00491.xlsx,Sheet1,4,3
council approved an increase of having taken a number of factors and representations into consideration,umkhandlu wenyuvesi ugunyaze ukukhushulwa kwemali yokufunda ngama emuva kokulalela iziphakamiso nokubheka okuningi okunomthelela,en-zu,englishzulu00021.xlsx,Sheet1,15,13
i am glad to have my husband who is the source of my strength,ngiyakubonga ukuba khona komyeni wami okunguyena onginika amandla,en-zu,englishzulu00118.xlsx,Sheet1,14,8
getting started,ukuqala ukusebenza,en-zu,englishzulu00482.xlsx,Sheet1,2,2
said moore its not all doom and gloom as africa has some experience with pandemics through ebola and there has been swift and proactive responses at the highest levels including the african union,udkt umoore uthe kodwa akukubi kangako njengoba iafrika inamava ekubhekaneni nobhubhane olunjengeebola kanti kube nemizamo esheshayo emazingeni aphezulu okukhona kuwona iafrican union,en-zu,englishzulu00439.xlsx,Sheet1,33,22
similarly african beliefs and customs as practiced by traditional fishery communities have yet to be incorporated in promulgation and implementation of fishery policies,gokufanayo izinkolelo namasiko obuafrika okwenziwa yimiphakathi yabadobi bendabuko kusadingeka ukuba ifakwe imenyezelwe futhi isetshenziswe enqubenimigomo yokudoba,en-zu,englishzulu202500025.xlsx,Sheet1,23,16
there are a great variety of challenges that the child can face,ziningi izinto ezahlukene eziyizinselelo umntwana angabekana nazo,en-zu,englishzulu00154.xlsx,Sheet1,12,7
